"Country Name","Country Code","Indicator Name","Indicator Code",Attribute,1995,1996,1997,1998,1999,1999Q1,1999Q2,1999Q3,1999Q4,2000,2000Q1,2000Q2,2000Q3,2000Q4,2001,2001Q1,2001Q2,2001Q3,2001Q4,2002,2002Q1,2002Q2,2002Q3,2002Q4,2003,2003Q1,2003Q2,2003Q3,2003Q4,2004,2004Q1,2004Q2,2004Q3,2004Q4,2005,2005Q1,2005Q2,2005Q3,2005Q4,2006,2006Q1,2006Q2,2006Q3,2006Q4,2007,2007Q1,2007Q2,2007Q3,2007Q4,2008,2008Q1,2008Q2,2008Q3,2008Q4,2009,2009Q1,2009Q2,2009Q3,2009Q4,2010,2010Q1,2010Q2,2010Q3,2010Q4,2011,2011Q1,2011Q2,2011Q3,2011Q4,2012,2012Q1,2012Q2,2012Q3,2012Q4,2013,2013Q1,2013Q2,2013Q3,2013Q4,2014,2014Q1,2014Q2,2014Q3,2014Q4,2015,2015Q1,2015Q2,2015Q3,2015Q4,2016,2016Q1,2016Q2,2016Q3,2016Q4,2017,2017Q1,2017Q2,2017Q3,2017Q4,2018,2018Q1,2018Q2,2018Q3,2018Q4,2019,2019Q1,2019Q2,2019Q3,2019Q4,2020,2020Q1,2020Q2,2020Q3,2020Q4,2021,2021Q1,2021Q2,2021Q3,2021Q4,2022,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,
"Advanced Economies","110","Allocated Reserves, Claims in Swiss francs, US Dollars","RAXGFXARCHF_USD","Value","1427903000","1451105000","2259469000","2212540000","1338184978.05546",,,,,"3185162640.46954",,,,,"3390875220.04322",,,,,"6616499942.72338",,,,,"4157690673.46725",,,,,"3246977498.41614",,,,,"3427781872.34694",,,,,"4578792881.40431",,,,,"4720874506.03184",,,,,"3954766102.24346",,,,,"4511373523.42283",,,,,"5202386044.67001",,,,,"2635915281.96723",,,,,"8563813984.52621",,,,,"13212139832.1562",,,,,"13847257844.1584",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Advanced Economies","110","Allocated Reserves, Claims in Swiss francs, US Dollars","RAXGFXARCHF_USD","Value",,,,,,"1723272792.16701","1285445856.24092","1362236000","1338184978.05546",,"2616048970.12325","2035244327.21365","2442485853.38902","3185162640.46954",,"3331519208.09356","3322303808.04294","3849050310.99348","3390875220.04322",,"4401688142.09637","4653067783.40592","5026522544.43203","6616499942.72338",,"3674104074.33371","3379865011.67837","3945119165.25963","4157690673.46725",,"4368499832.89087","4575639610.50826","3024007159.47521","3246977498.41614",,"3522279229.82696","2875686449.88466","3248827687.91513","3427781872.34694",,"4042732375.8634","4070578134.73994","4188233213.3082","4578792881.40431",,"4785081003.89279","4703003667.58008","5135785687.07882","4720874506.03184",,"4352869373.88302","4467884409.06812","3809605861.71009","3954766102.24346",,"4080742250.12558","3731308263.05724","4532868859.33665","4511373523.42283",,"4452690005.89757","4244626405.87958","3399581092.78316","5202386044.67001",,"4700974398.81036","4967400370.14772","14654530136.1781","2635915281.96723",,"11503972464.8463","11511983379.8826","12748910530.4836","8563813984.52621",,"12544734364.9424","12451342417.9272","12875540019.7833","13212139832.1562",,"13093716985.6136","13577589419.9688","12534712946.1486","13847257844.1584",,"15756390313.1684",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Advanced Economies","110","Allocated Reserves, Claims in U.S. dollars, US Dollars","RAXGFXARUSD_USD","Value","414061497000","526181637000","557808813000","620300700000","707130668271.483",,,,,"773993499862.448",,,,,"794392595783.308",,,,,"852783699173.436",,,,,"1048733529052.89",,,,,"1232503254061.43",,,,,"1265929920042.09",,,,,"1358274018866.16",,,,,"1432367341907.86",,,,,"1485530900350.64",,,,,"1593538308730.51",,,,,"1775565350786.68",,,,,"2018945063397.04",,,,,"2064898092507.03",,,,,"2109981603806.68",,,,,"2196436227699.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Advanced Economies","110","Allocated Reserves, Claims in U.S. dollars, US Dollars","RAXGFXARUSD_USD","Value",,,,,,"628575159960.097","648626206799.319","668058922000","707130668271.483",,"721459340398.808","760585491596.937","765572368584.664","773993499862.448",,"776762748841.515","771435911492.164","791418907325.036","794392595783.308",,"797104506973.918","820924417047.137","843699285530.759","852783699173.436",,"871762974534.314","923818137636.357","989512956686.992","1048733529052.89",,"1208563632952.53","1204979242961.51","1210566140487.27","1232503254061.43",,"1233549810328.82","1254402584813.85","1247449610899.41","1265929920042.09",,"1274003222166.01","1299121491274.23","1330138817445.38","1358274018866.16",,"1387483245914.39","1398955267502.78","1415031345138.54","1432367341907.86",,"1462396228659.87","1441259270036.15","1453782406954.91","1485530900350.64",,"1489166443533.27","1515085395069.17","1549080972911.33","1593538308730.51",,"1617319275122.21","1698117906998.24","1763286813578.15","1775565350786.68",,"1777268787622.79","1809751330658.66","1926734874929.4","2018945063397.04",,"1978885041753.22","2007992060384.54","2039624478398.84","2064898092507.03",,"2060255800547.75","2058771647474.9","2091071851909.14","2109981603806.68",,"2145124827262.87","2159276588509.07","2171654165496.58","2196436227699.1",,"2270832615638.46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Advanced Economies","110","Allocated Reserves, Claims in other currencies, US Dollars","RAXGFXAROC_USD","Value","44308795000","47736004000","41162455000","49663590000","16986817077.9205",,,,,"16542639185.002",,,,,"15521738278.1417",,,,,"21201204491.1971",,,,,"32936501687.4917",,,,,"39479999410.9128",,,,,"36436783959.1801",,,,,"41440528899.1318",,,,,"51375318062.8623",,,,,"60286109218.0449",,,,,"70609901052.3595",,,,,"117021169964.719",,,,,"144395140911.291",,,,,"99253942942.3738",,,,,"85852646622.171",,,,,"93788974889.5789",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Advanced Economies","110","Allocated Reserves, Claims in other currencies, US Dollars","RAXGFXAROC_USD","Value",,,,,,"15471779145.4473","16397850000","18142228000","16986817077.9205",,"16919359130.8848","16591752525.4713","13965526473.8928","16542639185.002",,"15762654544.1222","14906447473.7801","16447662047.0212","15521738278.1417",,"15694011992.1462","20712486909.1715","23231211024.6113","21201204491.1971",,"23702476348.7259","26492157343.6167","26573822339.5757","32936501687.4917",,"34990471141.6666","33444497382.0033","34706090455.6468","39479999410.9128",,"37421592513.0647","34946786548.0081","37316416899.3317","36436783959.1801",,"31725462604.202","36497696052.7505","37744661305.8378","41440528899.1318",,"42669007227.299","46343649495.6248","52862225562.2398","51375318062.8623",,"63102531591.1361","64019611066.6651","60212809299.3978","60286109218.0449",,"51849911757.5782","55861171343.8705","66464960704.6958","70609901052.3595",,"78600791078.134","89222697761.8884","115043378112.003","117021169964.719",,"118993068447.662","135221646324.412","132409937856.262","144395140911.291",,"148136391549.44","151681235262.371","173443999236.355","99253942942.3738",,"106730401070.546","77085122038.2723","82406909427.1334","85852646622.171",,"91983976752.6407","92504045942.1292","93230399816.5489","93788974889.5789",,"93392986569.8647",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Advanced Economies","110","Allocated Reserves, US Dollars","RAXGFXAR_USD","Value","768304132000","912934892000","913980481000","927308970000","1012801735045.2",,,,,"1110027865259.73",,,,,"1125853842372.72",,,,,"1286313908224.24",,,,,"1566040788000.52",,,,,"1836416228153.75",,,,,"1834103460424.59",,,,,"2001253169930.89",,,,,"2183236193020.47",,,,,"2224699072109.64",,,,,"2459520978467.32",,,,,"2745346408714.25",,,,,"3060012778579.25",,,,,"3313820178324.57",,,,,"3423659519871",,,,,"3453364316075.32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Advanced Economies","110","Allocated Reserves, US Dollars","RAXGFXAR_USD","Value",,,,,,"901220014702.472","921271955707.271","968578534000","1012801735045.2",,"1020593368714.22","1065932024021.73","1075717690194.08","1110027865259.73",,"1090923738827.02","1078407076206.88","1129968682444.45","1125853842372.72",,"1130841672045.83","1214604938619.68","1255113312058.29","1286313908224.24",,"1305171760331.56","1385217170897.56","1461177938496.31","1566040788000.52",,"1738108340377.99","1724648948426.7","1745671283400.05","1836416228153.75",,"1831532535488.92","1824411742887.91","1818183536090.26","1834103460424.59",,"1851665244810.54","1898019965706.28","1931195568359.23","2001253169930.89",,"2040128591935.4","2075417279479.07","2137758660455.36","2183236193020.47",,"2281711442014.2","2243600968699.06","2189477382621.07","2224699072109.64",,"2177051358444.75","2313350798892.63","2409115068737.66","2459520978467.32",,"2502847240787.27","2599005772638.67","2753081930206.09","2745346408714.25",,"2794395665075.01","2863485797016.07","2978886920509.59","3060012778579.25",,"3070935266216.75","3177098789627.83","3278569479394.82","3313820178324.57",,"3294063280412.52","3290650603498.56","3381195915172.42","3423659519871",,"3477591348841.04","3516571137675.29","3438723430163.54","3453364316075.32",,"3526053080750.95",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Advanced Economies","110","Unallocated Reserves, US Dollars","RAXGFXUR_USD","Value","169107882757.891","109474486354.172","102709901561.905","102389249247.208","116736832957.752",,,,,"115858234339.89",,,,,"131353947627.233",,,,,"170053655465.312",,,,,"218030050920.889",,,,,"253751059938.207",,,,,"265827791303.186",,,,,"281905295793.992",,,,,"288985095885.385",,,,,"306690116828.707",,,,,"364524812529.011",,,,,"397444865334.174",,,,,"400227301307.924",,,,,"423792617075.453",,,,,"435483728827.027",,,,,"437755379611.427",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Advanced Economies","110","Unallocated Reserves, US Dollars","RAXGFXUR_USD","Value",,,,,,"98769422288.5951","104040692566.299","109277659884.57","116736832957.752",,"119402292812.284","120122287433.106","118162833653.594","115858234339.89",,"117514779689.448","118159885449.406","123770845575.809","131353947627.233",,"137764128318.931","159195509508.846","163809014302.102","170053655465.312",,"175451632777.908","185452735688.585","199565451927.62","218030050920.889",,"235324087274.211","239362633115.124","242713547760.956","253751059938.207",,"261754871500.849","264804934871.678","264869106568.7","265827791303.186",,"270083577984.485","276476641710.552","275728431062.516","281905295793.992",,"283892044026.402","282804364594.451","280347643580.723","288985095885.385",,"308172758087.864","312070471359.697","297804859555.447","306690116828.707",,"313997019593.369","333069183121.968","347556033699.56","364524812529.011",,"369904004778.97","374884408263.102","396754634209.466","397444865334.174",,"421775393460.34","425406471305.043","408099539313.108","400227301307.924",,"411889635423.422","408588082239.36","416305199860.149","423792617075.453",,"422939363216.711","424505120341.896","430117139164.271","435483728827.027",,"437881889451.576","443973725207.876","443361042937.141","437755379611.427",,"434849796636.289",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
